Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1679939200046,27/03/2023 17:46:40,1679939152349,2,27/03/2023 19:45:52,97845,6,questionnaire-4juk,,28468992,BLIND,8459387,,complete,dfcxxk,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1679939286436,27/03/2023 17:48:06,1679939238802,2,27/03/2023 19:47:18,97845,6,questionnaire-4juk,,28468992,BLIND,8459387,,complete,dfcxxk,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,participation_code,49606
3,1679939286514,27/03/2023 17:48:06,1679939238803,2,27/03/2023 19:47:18,97845,6,questionnaire-4juk,,28468992,BLIND,8459387,,complete,dfcxxk,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,86454
1,1680100801200,29/03/2023 14:40:01,1680100802331,2,29/03/2023 16:40:02,97845,6,questionnaire-4juk,,28528464,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Insert Code,1,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680100814481,29/03/2023 14:40:14,1680100815655,2,29/03/2023 16:40:15,97845,6,questionnaire-4juk,,28528464,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Insert Code,1,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,participation_code,38413
3,1680100814542,29/03/2023 14:40:14,1680100815656,2,29/03/2023 16:40:15,97845,6,questionnaire-4juk,,28528464,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Insert Code,1,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,13325
1,1680266435951,31/03/2023 12:40:35,1680266439968,2,31/03/2023 14:40:39,97845,6,questionnaire-4juk,,28579259,BLIND,8502516,,complete,kiflom,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,Survived debriefing,,,Insert Code,1,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680266445252,31/03/2023 12:40:45,1680266449315,2,31/03/2023 14:40:49,97845,6,questionnaire-4juk,,28579259,BLIND,8502516,,complete,kiflom,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,Survived debriefing,,,Insert Code,1,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,participation_code,50059
3,1680266445320,31/03/2023 12:40:45,1680266449316,2,31/03/2023 14:40:49,97845,6,questionnaire-4juk,,28579259,BLIND,8502516,,complete,kiflom,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,Survived debriefing,,,Insert Code,1,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,9348
1,1680869408370,07/04/2023 12:10:08,1680869408256,2,07/04/2023 14:10:08,97845,6,questionnaire-4juk,,28731031,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680869417516,07/04/2023 12:10:17,1680869417471,2,07/04/2023 14:10:17,97845,6,questionnaire-4juk,,28731031,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,participation_code,53112
3,1680869417592,07/04/2023 12:10:17,1680869417473,2,07/04/2023 14:10:17,97845,6,questionnaire-4juk,,28731031,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,Insert Code,1,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,9217
