Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1680871006128,07/04/2023 12:36:46,1680871006051,2,07/04/2023 14:36:46,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680871084822,07/04/2023 12:38:04,1680871084744,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_01,5
3,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_01-quantised,5
4,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_02,4
5,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_02-quantised,4
6,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_03,5
7,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_03-quantised,5
8,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_04,5
9,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_04-quantised,5
10,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_05,3
11,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_05-quantised,3
12,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_06,4
13,1680871084893,07/04/2023 12:38:04,1680871084746,2,07/04/2023 14:38:04,97845,6,questionnaire-p6em,,28731344,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1713x945,Survived debriefing,,,BFNE-R,6,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BFNE_06-quantised,4
