Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1684412814381,18/05/2023 12:26:54,1684412813966,2,18/05/2023 14:26:53,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1559x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1684412882746,18/05/2023 12:28:02,1684412882382,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,gender,Männlich
3,1684412882806,18/05/2023 12:28:02,1684412882383,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,gender-quantised,1
4,1684412882806,18/05/2023 12:28:02,1684412882383,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,age,25
5,1684412882806,18/05/2023 12:28:02,1684412882383,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,citizenship-1,Deutsch
6,1684412882806,18/05/2023 12:28:02,1684412882384,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,mother_tongue-1,Deutsch
7,1684412882806,18/05/2023 12:28:02,1684412882384,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,migration,Nicht immigriert
8,1684412882806,18/05/2023 12:28:02,1684412882384,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,migration-quantised,2
9,1684412882806,18/05/2023 12:28:02,1684412882384,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,migration_age,
10,1684412882806,18/05/2023 12:28:02,1684412882384,2,18/05/2023 14:28:02,97845,6,questionnaire-ld1e,,29595130,BLIND,8801433,,complete,tqajjd,,computer,Desktop or Laptop,Windows 10,Opera 98.0.0.0,1600x1200,1544x1059,Survived debriefing,,,Demographics,2,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,relationship_status,Single
