Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1680102879234,29/03/2023 15:14:39,1680102880345,2,29/03/2023 17:14:40,97845,6,questionnaire-vh4q,,28529589,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680103014607,29/03/2023 15:16:54,1680103015748,2,29/03/2023 17:16:55,97845,6,questionnaire-vh4q,,28529589,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1903x969,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1680103014701,29/03/2023 15:16:54,1680103015749,2,29/03/2023 17:16:55,97845,6,questionnaire-vh4q,,28529589,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1903x969,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,135404
1,1692186811554,16/08/2023 11:53:31,1692186833948,2,16/08/2023 13:53:53,97845,6,questionnaire-vh4q,,31218554,BLIND,9253510,,complete,fdraqs,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1482x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1692186933422,16/08/2023 11:55:33,1692186955797,2,16/08/2023 13:55:55,97845,6,questionnaire-vh4q,,31218554,BLIND,9253510,,complete,fdraqs,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1692186933538,16/08/2023 11:55:33,1692186955799,2,16/08/2023 13:55:55,97845,6,questionnaire-vh4q,,31218554,BLIND,9253510,,complete,fdraqs,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,121851
1,1690363838552,26/07/2023 09:30:38,1690363853314,2,26/07/2023 11:30:53,97845,6,questionnaire-vh4q,,30871545,BLIND,9164610,,complete,nnnhvn,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.183,1280x720,1225x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1690363889312,26/07/2023 09:31:29,1690363904098,2,26/07/2023 11:31:44,97845,6,questionnaire-vh4q,,30871545,BLIND,9164610,,complete,nnnhvn,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.183,1280x720,1210x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1690363889443,26/07/2023 09:31:29,1690363904099,2,26/07/2023 11:31:44,97845,6,questionnaire-vh4q,,30871545,BLIND,9164610,,complete,nnnhvn,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.183,1280x720,1210x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,50785
1,1689770464634,19/07/2023 12:41:04,1689770464557,2,19/07/2023 14:41:04,97845,6,questionnaire-vh4q,,30749623,BLIND,9130100,,complete,ikqyeq,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.86,1536x864,1536x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689770532273,19/07/2023 12:42:12,1689770532226,2,19/07/2023 14:42:12,97845,6,questionnaire-vh4q,,30749623,BLIND,9130100,,complete,ikqyeq,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.86,1536x864,1519x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1689770532400,19/07/2023 12:42:12,1689770532227,2,19/07/2023 14:42:12,97845,6,questionnaire-vh4q,,30749623,BLIND,9130100,,complete,ikqyeq,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.86,1536x864,1519x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,67670
1,1689665898765,18/07/2023 07:38:18,1689665754751,2,18/07/2023 09:35:54,97845,6,questionnaire-vh4q,,30707059,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1225x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689665942578,18/07/2023 07:39:02,1689665798511,2,18/07/2023 09:36:38,97845,6,questionnaire-vh4q,,30707059,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1689665942695,18/07/2023 07:39:02,1689665798512,2,18/07/2023 09:36:38,97845,6,questionnaire-vh4q,,30707059,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,43761
1,1689590104790,17/07/2023 10:35:04,1689590103860,2,17/07/2023 12:35:03,97845,6,questionnaire-vh4q,,30691217,BLIND,9114231,,complete,jehneb,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1482x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,ABKCJDIEHFG,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689590165114,17/07/2023 10:36:05,1689590164207,2,17/07/2023 12:36:04,97845,6,questionnaire-vh4q,,30691217,BLIND,9114231,,complete,jehneb,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,ABKCJDIEHFG,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1689590165215,17/07/2023 10:36:05,1689590164208,2,17/07/2023 12:36:04,97845,6,questionnaire-vh4q,,30691217,BLIND,9114231,,complete,jehneb,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,ABKCJDIEHFG,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,60348
1,1689583201076,17/07/2023 08:40:01,1689583200137,2,17/07/2023 10:40:00,97845,6,questionnaire-vh4q,,30689214,BLIND,9113722,,complete,ndnxey,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1482x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689583277188,17/07/2023 08:41:17,1689583276207,2,17/07/2023 10:41:16,97845,6,questionnaire-vh4q,,30689214,BLIND,9113722,,complete,ndnxey,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1689583277297,17/07/2023 08:41:17,1689583276208,2,17/07/2023 10:41:16,97845,6,questionnaire-vh4q,,30689214,BLIND,9113722,,complete,ndnxey,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,KAJBICHDGEF,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,76071
1,1689080255904,11/07/2023 12:57:35,1689080255970,2,11/07/2023 14:57:35,97845,6,questionnaire-vh4q,,30612816,BLIND,9089012,,complete,pinxmw,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,1920x1080,1920x955,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,JKIAHBGCFDE,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689080289951,11/07/2023 12:58:09,1689080290068,2,11/07/2023 14:58:10,97845,6,questionnaire-vh4q,,30612816,BLIND,9089012,,complete,pinxmw,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,1920x1080,1903x955,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,JKIAHBGCFDE,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1689080290019,11/07/2023 12:58:10,1689080290070,2,11/07/2023 14:58:10,97845,6,questionnaire-vh4q,,30612816,BLIND,9089012,,complete,pinxmw,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,1920x1080,1903x955,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,JKIAHBGCFDE,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,34100
1,1688656152099,06/07/2023 15:09:12,1688656160613,2,06/07/2023 17:09:20,97845,6,questionnaire-vh4q,,30527228,BLIND,9066992,,complete,fijukt,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1536x864,1482x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1688656210170,06/07/2023 15:10:10,1688656218757,2,06/07/2023 17:10:18,97845,6,questionnaire-vh4q,,30527228,BLIND,9066992,,complete,fijukt,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1688656210275,06/07/2023 15:10:10,1688656218759,2,06/07/2023 17:10:18,97845,6,questionnaire-vh4q,,30527228,BLIND,9066992,,complete,fijukt,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1536x864,1465x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,58146
1,1688480903947,04/07/2023 14:28:23,1688480911923,2,04/07/2023 16:28:31,97845,6,questionnaire-vh4q,,30473332,BLIND,9054278,,complete,tkzgas,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1225x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,HIGJFKEADBC,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1688480921531,04/07/2023 14:28:41,1688480929517,2,04/07/2023 16:28:49,97845,6,questionnaire-vh4q,,30473332,BLIND,9054278,,complete,tkzgas,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,HIGJFKEADBC,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1688480921740,04/07/2023 14:28:41,1688480929518,2,04/07/2023 16:28:49,97845,6,questionnaire-vh4q,,30473332,BLIND,9054278,,complete,tkzgas,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,HIGJFKEADBC,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,17596
1,1688477293748,04/07/2023 13:28:13,1688477301714,2,04/07/2023 15:28:21,97845,6,questionnaire-vh4q,,30471432,BLIND,9053831,,complete,aklxjw,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1225x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,GHFIEJDKCAB,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1688477415934,04/07/2023 13:30:15,1688477423878,2,04/07/2023 15:30:23,97845,6,questionnaire-vh4q,,30471432,BLIND,9053831,,complete,aklxjw,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,GHFIEJDKCAB,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1688477416035,04/07/2023 13:30:16,1688477423881,2,04/07/2023 15:30:23,97845,6,questionnaire-vh4q,,30471432,BLIND,9053831,,complete,aklxjw,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.67,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,GHFIEJDKCAB,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,122167
1,1686920534802,16/06/2023 13:02:14,1686920568693,2,16/06/2023 15:02:48,97845,6,questionnaire-vh4q,,30095574,BLIND,8964265,,complete,yyuina,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1225x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1686920582200,16/06/2023 13:03:02,1686920616152,2,16/06/2023 15:03:36,97845,6,questionnaire-vh4q,,30095574,BLIND,8964265,,complete,yyuina,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1686920582324,16/06/2023 13:03:02,1686920616154,2,16/06/2023 15:03:36,97845,6,questionnaire-vh4q,,30095574,BLIND,8964265,,complete,yyuina,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1209x609,Survived debriefing,,,Debriefing,8,Survived code insertion,Ambigious,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,47461
1,1685629560626,01/06/2023 14:26:00,1685629560522,2,01/06/2023 16:26:00,97845,6,questionnaire-vh4q,,29821511,BLIND,8879711,,complete,imnjkp,,tablet,Apple iPad,iOS 16.3,GSA 258.1.520699392,810x1080,1080x617,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1685629565704,01/06/2023 14:26:05,1685629565662,2,01/06/2023 16:26:05,97845,6,questionnaire-vh4q,,29821511,BLIND,8879711,,complete,imnjkp,,tablet,Apple iPad,iOS 16.3,GSA 258.1.520699392,810x1080,1080x617,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,read_debriefing,1
3,1685629565795,01/06/2023 14:26:05,1685629565666,2,01/06/2023 16:26:05,97845,6,questionnaire-vh4q,,29821511,BLIND,8879711,,complete,imnjkp,,tablet,Apple iPad,iOS 16.3,GSA 258.1.520699392,810x1080,1080x617,Survived debriefing,,,Debriefing,8,Survived code insertion,Negative-to-positive,Survived game,DECFBGAHKIJ,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,5144
1,1685029264086,25/05/2023 15:41:04,1685029264201,2,25/05/2023 17:41:04,97845,6,questionnaire-vh4q,,29724027,BLIND,8843379,,complete,fviqfp,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1685029327460,25/05/2023 15:42:07,1685029327551,2,25/05/2023 17:42:07,97845,6,questionnaire-vh4q,,29724027,BLIND,8843379,,complete,fviqfp,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1519x754,Survived debriefing,,,Debriefing,8,Survived code insertion,Positive-to-negative,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,read_debriefing,1
