Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1689665079044,18/07/2023 07:24:39,1689664935030,2,18/07/2023 09:22:15,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1225x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1689665177964,18/07/2023 07:26:17,1689665034013,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_01,2
3,1689665178088,18/07/2023 07:26:18,1689665034015,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_01-quantised,2
4,1689665178088,18/07/2023 07:26:18,1689665034015,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_02,4
5,1689665178088,18/07/2023 07:26:18,1689665034015,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_02-quantised,4
6,1689665178088,18/07/2023 07:26:18,1689665034015,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_03,3
7,1689665178088,18/07/2023 07:26:18,1689665034015,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_03-quantised,3
8,1689665178088,18/07/2023 07:26:18,1689665034016,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_04,2
9,1689665178088,18/07/2023 07:26:18,1689665034016,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_04-quantised,2
10,1689665178088,18/07/2023 07:26:18,1689665034016,2,18/07/2023 09:23:54,97845,6,questionnaire-wo8m,,30706989,BLIND,9118973,,complete,hbubit,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1280x720,1209x609,Survived debriefing,,,DES,5,Survived code insertion,Negative-to-positive,Survived game,BCADKEJFIGH,Survived debriefing,survived study assessment,No,DES_05,5
