Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1680870798610,07/04/2023 12:33:18,1680870798507,2,07/04/2023 14:33:18,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680870814636,07/04/2023 12:33:34,1680870814583,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_01,2
3,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_01-quantised,2
4,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_02,3
5,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_02-quantised,3
6,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_03,2
7,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,KUSIV_03-quantised,2
8,1680870814719,07/04/2023 12:33:34,1680870814585,2,07/04/2023 14:33:34,97845,6,questionnaire-a3l3,,28731319,BLIND,8552546,,complete,pbpohj,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1728x1117,1728x945,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Ambigious,Survived game,EFDGCHBIAJK,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,16078
1,1684328285379,17/05/2023 12:58:05,1684328308848,2,17/05/2023 14:58:28,97845,6,questionnaire-a3l3,,29573922,BLIND,8796180,,complete,aniztz,,computer,Desktop or Laptop,Windows 10,Edge 113.0.1774.42,1280x720,1225x609,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Positive-to-negative,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1684328308961,17/05/2023 12:58:28,1684328332471,2,17/05/2023 14:58:52,97845,6,questionnaire-a3l3,,29573922,BLIND,8796180,,complete,aniztz,,computer,Desktop or Laptop,Windows 10,Edge 113.0.1774.42,1280x720,1225x609,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Positive-to-negative,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,KUSIV_01,5
3,1684328309122,17/05/2023 12:58:29,1684328332475,2,17/05/2023 14:58:52,97845,6,questionnaire-a3l3,,29573922,BLIND,8796180,,complete,aniztz,,computer,Desktop or Laptop,Windows 10,Edge 113.0.1774.42,1280x720,1225x609,Survived debriefing,,,KUSIV-3,4,Survived code insertion,Positive-to-negative,Survived game,IJHKGAFBECD,Survived debriefing,survived study assessment,No,KUSIV_01-quantised,5
