Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-jpdv,randomiser-i3f2,checkpoint-neje,order-73e3,checkpoint-iq13,checkpoint-t4s8,Randomise questionnaire elements?,Question Key,Response
1,1680102661680,29/03/2023 15:11:01,1680102662802,2,29/03/2023 17:11:02,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1680102878018,29/03/2023 15:14:38,1680102879171,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,suspected_aim_of_study,Soziales Experiment
3,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,further_remarks,Zu viele Anschlussfragen
4,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,burden,50
5,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,stress,60
6,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,negative_affect,55
7,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,make_money,40
8,1680102878141,29/03/2023 15:14:38,1680102879172,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,avoid_exploitation,40
9,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,feeling_exploited,100
10,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,feeling_offensed,70
11,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,feeling_hurt,10
12,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,understand_instruction,100
13,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,risk_perspective,80
14,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,real_people,10
15,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,suggestions,"Das Layout war sehr simpel, das könnte man vielleicht etwas verbessern. Oft hatte ich vielleicht auch hierdurch das Gefühl, dass ich mit keinem echten Mitspieler verbunden wurde. "
16,1680102878141,29/03/2023 15:14:38,1680102879173,2,29/03/2023 17:14:39,97845,6,questionnaire-1gv9,,28529498,BLIND,8478866,,complete,aurshv,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Negative-to-positive,Survived game,CDBEAFKGJHI,Survived debriefing,survived study assessment,No,END QUESTIONNAIRE,216371
1,1692186639646,16/08/2023 11:50:39,1692186662023,2,16/08/2023 13:51:02,97845,6,questionnaire-1gv9,,31218497,BLIND,9253510,,complete,fdraqs,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1482x754,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Positive-to-negative,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,BEGIN QUESTIONNAIRE,
2,1692186810109,16/08/2023 11:53:30,1692186832539,2,16/08/2023 13:53:52,97845,6,questionnaire-1gv9,,31218497,BLIND,9253510,,complete,fdraqs,,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1536x864,1465x754,Survived debriefing,,,Suspiciousness,6,Survived code insertion,Positive-to-negative,Survived game,FGEHDICJBKA,Survived debriefing,survived study assessment,No,suspected_aim_of_study,Meinen pesönlichen IST Stand zu beschreiben
